"Translation Info:
#---------------------------
39,2,32,"Onlar dedilər: “Sən pak və müqəddəssən! Sənin bizə öyrətdiklərindən başqa bizdə heç bir bilik yoxdur! Həqiqətən, Sən Bilənsən, Hikmətlisən!”",""
40,2,33,"Allah buyurdu: “Ey Adəm, bunların adlarını mələklərə bildir!” O, bunların adlarını mələklərə bildirdikdə Allah buyurdu: “Mən sizə demədimmi ki, göylərdə və yerdə olan qeybi, aşkara çıxartdığınızı və gizli saxladığınızı bilirəm?!”",""
41,2,34,"Bir zaman Biz mələklərə: “Adəmə (hörmət əlaməti olaraq) səcdə edin!”– dedikdə, İblisdən başqa hamısı səcdə etdi. O imtina edib təkəbbür göstərdi və kafirlərdən oldu.",""
42,2,35,"Biz dedik: “Ey Adəm! Sən zövcənlə birlikdə Cənnətdə sakin ol və orada rahatlıqla nemətlərimizdən istədiyiniz yerdə yeyin (için), təkcə bu ağaca yaxınlaşmayın! Yoxsa zalımlardan olarsınız”.",""
43,2,36,"Şeytan isə onları o ağaca yaxınlaşdırmaqla aldadıb olduqları yerdən çıxartdı. Biz dedik: “Bir-birinizə düşmən olaraq aşağı enin! Yerdə sizin üçün müəyyən (olunmuş) vaxtadək məskən və gün-güzəran vardır”.",""
44,2,37,"Adəm (tövbə etmək üçün) Rəbbindən kəlmələr öyrəndi, O da onun tövbəsini qəbul etdi. Həqiqətən də, O, tövbələri qəbul edəndir, Rəhmlidir.",""
45,2,38,"Biz dedik: “Hamınız oradan (yerə) enin! Mənim tərəfimdən sizə doğru yol göstəricisi gəldikdən sonra Mənim yol göstəricimin ardınca gedənlərə heç bir qorxu yoxdur və onlar kədərlənməyəcəklər”.",""
46,2,39,"Kafir olub ayələrimizi yalan sayanlara gəlincə, onlar Od sakinləridirlər. Onlar orada əbədi qalacaqlar!",""
47,2,40,"Ey İsrail oğulları! Sizə bəxş etdiyim nemətimi xatırlayın və Mənə verdiyiniz əhdi yerinə yetirin ki, Mən də sizə verdiyim əhdi yerinə yetirim. Və yalnız Məndən qorxun!",""
48,2,41,"Əlinizdəkini təsdiqləyici olaraq nazil etdiyim Qurana iman gətirin və ona küfr edənlərin birincisi olmayın! Mənim ayələrimi ucuz qiymətə satmayın və yalnız Məndən qorxun.",""
49,2,42,"Özünüz də bilə-bilə haqqa batil donu geyindirməyin və haqqı gizlətməyin.",""
50,2,43,"Namaz qılın, zəkat verin və rüku edənlərlə birgə rüku edin!",""
51,2,44,"Siz Kitabı (Tövrat) oxuduğunuz halda, insanlara yaxşı işlər görməyi əmr edir, özünüzü isə unudursunuz?! Məgər anlamırsınız?!",""
52,2,45,"Səbir etmək və namaz qılmaqla (Allahdan) kömək diləyin! Həqiqətən, bu, (Allaha) müti olanlardan başqa hamıya ağır gəlir.",""
53,2,46,"O (müti) kəslər ki, öz Rəbbi ilə qarşılaşacaqlarını və Ona qayıdacaqlarını yəqin bilirlər.",""
54,2,47,"Ey İsrail oğulları! Sizə bəxş etdiyim nemətimi və sizi aləmlərdən üstün tutduğumu xatırlayın.",""
55,2,48,"Qorxun o gündən ki, (o vaxt) heç kəs heç kəsə fayda verə bilməyəcək, heç kəsdən şəfaət qəbul olunmayacaq, heç kəsdən bir fidyə alınmayacaq və onlara kömək göstərilməyəcək.",""
56,2,49,"Bir zaman Biz sizi Fironun tərəfdarlarından xilas etdik. (O vaxt) onlar sizə ağır əzablar verir, oğlan uşaqlarınızı öldürür, qadınlarınızı isə sağ buraxırdılar. Bunda Rəbbiniz tərəfindən sizin üçün böyük bir sınaq var idi.",""
57,2,50,"O zaman Biz sizin üçün dənizi yardıq, sizi xilas etdik və Fironun tərəfdarlarını gözünüzün qabağında (dənizdə) batırdıq.",""
58,2,51,"O zaman Biz Musaya qırx gecəlik vədə verdik. Sonra siz onun ardından nəfsinizə zülm edərək buzovu özünüzə məbud qəbul etdiniz.",""
59,2,52,"Sonra bunun ardınca Biz sizi əvf etdik ki, bəlkə şükür edəsiniz.",""
60,2,53,"O zaman Biz Musaya Kitab və haqqı batildən ayıran Furqan verdik ki, bəlkə doğru yolla gedəsiniz.",""
61,2,54,"O zaman Musa öz qövmünə dedi: “Ey qövmüm! Siz buzova ibadət etməklə özünüzə zülm etdiniz. Odur ki, Yaradanınıza tövbə edin və özünüzü öldürün. Bu, Yaradanınızın yanında sizin üçün xeyirlidir.” O, sizin tövbənizi qəbul etdi. Həqiqətən də, O, tövbələri qəbul edəndir, Rəhmlidir.",""
62,2,55,"O zaman siz: “Ey Musa! Biz Allahı açıq-aşkar görməyincə sənə iman gətirməyəcəyik!”– dediniz və gözünüz görə-görə sizi ildırım vurdu.",""
63,2,56,"Ölümünüzdən sonra Biz sizi diriltdik ki, bəlkə şükür edəsiniz.",""
64,2,57,"Biz sizin üstünüzə buludla kölgə saldıq, sizə manna və bildirçin endirdik (və): “Sizə ruzi olaraq verdiyimiz pak şeylərdən yeyin!”– dedik. Onlar Bizə deyil, yalnız özlərinə zülm etdilər.",""
65,2,58,"O zaman Biz dedik: “Bu kəndə daxil olun və orada istədiyiniz yerlərdə, rahatlıqla yeyin (için). Qapıdan səcdə edərək daxil olun və: “Bizi bağışla!”– deyin ki, sizin günahlarınızı bağışlayaq”. Biz yaxşı işlər görənlərə mükafatlarını artırarıq.",""
66,2,59,"Zülm edənlər özlərinə deyilən sözü başqa bir sözlə dəyişdilər. Biz də zülm edənlərə, etdikləri günaha görə göydən əzab göndərdik.",""
67,2,60,"O zaman Musa öz qövmü üçün su istədikdə, Biz: “Əsanla daşa vur!”– dedik. Daşdan on iki çeşmə qaynayıb çıxdı. Hər qəbilə su içəcəyi yeri tanıdı. (Onlara dedik:) “Allahın sizə verdiyi ruzidən yeyin-için və yer üzündə fəsad yaymağa səy göstərməyin!”",""
68,2,61,"O zaman siz dediniz: “Ey Musa! Biz eyni cür yeməklərə dözməyəcəyik. Elə buna görə də, bizim üçün Rəbbinə dua et ki, bizə yerin bitirdiklərindən – tərəvəzindən, xiyarından, sarımsağından, mərciməyindən və soğanından çıxartsın!” (Musa dedi:) “Siz xeyirli olan şeylərin daha dəyərsiz şeylərlə əvəz olunmasınımı istəyirsiniz?! Şəhərə enin! Şübhəsiz ki, (orada) sizin üçün istədikləriniz vardır!” Onlara zəlillik və miskinlik üz verdi, (üstəlik,) onlar Allahın qəzəbinə düçar oldular. Bu (cəza) ona görə idi ki, onlar Allahın ayələrinə küfr edirdilər və peyğəmbərləri haqsız yerə öldürürdülər. Bu (həm də) onların asi olduqlarına və həddi aşdıqlarına görə idi.",""
69,2,62,"Şübhəsiz ki, möminlərin, (habelə,) yəhudi, nəsrani və sabiilərdən Allaha və Axirət gününə iman gətirənlərin və yaxşı iş görənlərin mükafatı öz Rəbbi yanındadır. Onlara heç bir qorxu yoxdur və onlar kədərlənməyəcəklər.",""
70,2,63,"Bir zaman sizdən əhd-peyman aldıq, Tur dağını başınız üstünə qaldırdıq və belə buyurduq: “Sizə verdiyimizdən möhkəm yapışın və onun içindəkiləri yada salın ki, bəlkə (Allahdan) qorxasınız!”",""
71,2,64,"Bundan sonra siz (yenə) üz döndərdiniz. Əgər sizə Allahın lütfü və rəhmi olmasaydı, əlbəttə, ziyana uğrayanlardan olardınız.",""
72,2,65,"Siz artıq içərinizdən şənbə günü həddi aşanları tanıyırsınız. Biz də onlara: “Mənfur meymunlar olun!”– dedik.",""
73,2,66,"Biz bunu onlarla (bir dövrdə) olanlar və onlardan sonra gələnlər üçün ibrət, müttəqilər üçün isə öyüd-nəsihət etdik.",""
74,2,67,"Bir zaman Musa öz qövmünə dedi: “Allah sizə bir inək kəsmənizi əmr edir!” Onlar: “Sən bizi ələ salırsan?!”– dedilər. (Musa:) “Cahillərdən olmaqdan Allaha sığınıram!”– dedi.",""
75,2,68,"Onlar dedilər: “Bizim üçün Rəbbinə dua et ki, onun nə cür (inək) olduğunu bizə bildirsin!” (Musa) dedi: “Allah buyurur ki, o, nə çox qoca, nə də çox cavan, bunların ikisinin arasında olan orta yaşlı bir inəkdir. Sizə əmr ediləni yerinə yetirin!”",""
76,2,69,"Onlar dedilər: “Bizim üçün Rəbbinə dua et ki, onun rəngini də bizə bildirsin!” (Musa) dedi: “Allah buyurur ki, o, tünd sarı rəngli, həm də baxanların xoşuna gələn bir inəkdir”.",""
77,2,70,"Onlar dedilər: “Bizim üçün Rəbbinə dua et ki, onun necə bir inək olduğunu bizə bildirsin! Çünki (bu) inəklər bizə bənzər görünür. Əgər Allah istəsə, əlbəttə ki, biz düz yola yönələrik”.",""
78,2,71,"(Musa) dedi: “(Allah) buyurur ki, o, nə yer şumlamağa, nə də əkin suvarmağa ram edilmiş, (üstəlik,) sağlam və (heç bir) ləkə-qüsuru olmayan bir inəkdir.” Onlar: “İndi sən əsl həqiqəti bildirdin!”– dedilər və onu kəsdilər. Halbuki az qala (bunu) yerinə yetirməyəcəkdilər.",""
79,2,72,"O zaman siz bir nəfəri öldürmüşdünüz və onun (qatili) barəsində mübahisə edirdiniz. Halbuki Allah gizlətdiklərinizi aşkara çıxarandır.",""
80,2,73,"Biz dedik: “(İnəyin) bir parçasını ölüyə vurun!” Allah ölüləri bu cür dirildir və Öz ayələrini sizə göstərir ki, bəlkə anlayasınız.",""
81,2,74,"Bundan sonra qəlbləriniz sərtləşib daş kimi, hətta ondan da daha sərt oldu. Həqiqətən, daşlardan eləsi var ki, içərisindən çaylar qaynayıb çıxar. Onlardan eləsi də var ki, yarılar, içərisindən su çıxar. Eləsi də var ki, Allahın qorxusundan (yuvarlanıb yerə) düşər. Allah sizin etdiklərinizdən qafil deyildir.",""
82,2,75,"Onların (yəhudilərin) sizə inanacaqlarınamı ümid edirsiniz? Halbuki onlardan elə bir zümrə var idi ki, Allahın kəlamını eşidib anladıqdan sonra, bilə-bilə onu təhrif edirdilər.",""
83,2,76,"Onlar möminlərlə rastlaşanda: “Biz iman gətirdik!”– deyir, bir-birləri ilə xəlvətdə qalanda isə: “Allahın sizə bildirdiyini onlara danışırsınız ki, Rəbbinizin yanında bunu sizə (qarşı) dəlil gətirsinlər?! Məgər başa düşmürsünüz?!”– deyirlər.",""
84,2,77,"Məgər onlar bilmirlər ki, Allah onların gizli saxladıqlarını və aşkara çıxartdıqlarını bilir?",""
85,2,78,"Onların arasında Kitabı bilməyən elə savadsızlar vardır ki, onlar ancaq xülyalara dalar və ancaq zənnə uyarlar.",""
86,2,79,"Vay o şəxslərin halına ki, onlar öz əlləri ilə kitab yazır, sonra da: “Bu, Allah tərəfindəndir!”– deyirlər ki, bunun sayəsində bir az qazanc əldə etsinlər. Öz əlləri ilə yazdıqlarına görə vay onların halına! Qazandıqları şeyə görə də vay onların halına!",""
87,2,80,"Onlar dedilər: “Od bizə ancaq bir neçə gün toxunacaq!” De: “Məgər siz Allahdan əhd almısınız? (Bilin ki,) Allah verdiyi əhdə əsla xilaf çıxmaz! Yoxsa Allaha qarşı bilmədiyinizi danışırsınız?!”",""
88,2,81,"Xeyr! Günah qazanan və xətaları özlərini bürüyən kimsələr – məhz onlar Od sakinləridirlər. Onlar orada əbədi qalacaqlar!",""
89,2,82,"İman gətirib saleh əməllər edənlərə gəlincə, onlar Cənnət sakinləridirlər. Onlar orada əbədi qalacaqlar!",""
90,2,83,"Bir zaman Biz İsrail oğulları ilə: “Allahdan qeyrisinə ibadət etməyəcək, valideynlərə, qohum-əqrəbaya, yetimlərə və kasıblara xeyirxahlıq edəcək, insanlara xoş söz deyəcək, namaz qılacaq və zəkat verəcəksiniz!”– deyə əhd bağladıq. Sonra az bir qisminiz istisna olmaqla, üz çevirib döndünüz.",""
91,2,84,"O zaman Biz sizinlə: “Bir-birinizin qanını tökməyəcəksiniz, bir-birinizi yurdlarınızdan çıxarmayacaqsınız!”– deyə əhd bağladıq. Sonra da siz (özünüz) şahidlik edərək (bu əhdi) təsdiqlədiniz.",""
92,2,85,"Siz yəhudilər o kəslərsiniz ki, bu əhddən sonra (yenə də) bir-birinizi öldürür, özünüzdən olan bir dəstəni öz yurdundan çıxarır, onlara qarşı pislik və düşmənçilik etməkdə bir-birinizə kömək edirsiniz. Onlar əsir tutulub yanınıza gətiriləndə, fidyə verib onları azad edirsiniz. Halbuki onları yurdlarından çıxartmaq sizə haram edilmişdir. Yoxsa siz Kitabın bir qisminə inanıb, digər qisminə küfr edirsiniz?! Sizlərdən bunu edənin cəzası dünya həyatında ancaq rüsvay olmaq, Qiyamət günü isə ən şiddətli əzaba düçar olmaqdır. Allah sizin etdiklərinizdən qafil deyildir.",""
93,2,86,"Onlar axirət qarşılığında dünya həyatını satın alan kimsələrdir. Ona görə də onların nə əzabı yüngülləşdiriləcək, nə də onlara kömək göstəriləcəkdir.",""
94,2,87,"Biz Musaya Kitab verdik və ondan sonra bir-birinin ardınca elçilər göndərdik. Biz Məryəm oğlu İsaya da açıq-aydın dəlillər verdik və onu müqəddəs ruhla qüvvətləndirdik. Hər dəfə sizə (göndərilən) elçi nəfislərinizin xoşlamadığı bir şey gətirəndə, siz təkəbbür göstərib onların bir qismini yalançı hesab etdiniz, bir qismini isə öldürdünüz.",""
95,2,88,"Onlar dedilər: “Qəlblərimiz qapalıdır!” Xeyr, Allah onları küfrlərinə görə lənətləmişdir. Odur ki, onlar olduqca az inanırlar.",""
96,2,89,"Onlara Allah tərəfindən özlərində olanı təsdiqləyən bir Kitab gəldikdə onu inkar etdilər. Halbuki əvvəllər kafirlər üzərində qələbə diləyirdilər. Onlara tanıdıqları (peyğəmbər) gəldikdə isə onu inkar etdilər. Allahın lənəti olsun kafirlərə!",""
97,2,90,"Allahın Öz qullarından istədiyi kimsəyə Öz lütfündən bəxş etməsinə həsəd apararaq Onun nazil etdiyini inkar etməklə nəfslərini satıb əvəzində aldıqları şey necə də pisdir! Beləcə, onlar qəzəb üstündən qəzəbə uğradılar. Kafirlər üçün alçaldıcı bir əzab vardır.",""
98,2,91,"Onlara: “Allahın nazil etdiyinə iman gətirin!”– deyildikdə, onlar: “Biz (sadəcə) özümüzə nazil edilənə inanırıq!”– deyib, ondan başqasını inkar edirlər. Halbuki bu (Quran) onların özlərində olanı təsdiqləyən haqdır. De: “Əgər siz inanan idinizsə, bəs nə üçün əvvəllər Allahın peyğəmbərlərini öldürürdünüz?”",""
99,2,92,"Musa sizə açıq-aydın dəlillər gətirmişdi. Sonra siz onun ardından nəfsinizə zülm edərək buzovu özünüzə (məbud) qəbul etdiniz.",""
100,2,93,"Bir zaman sizdən əhd-peyman aldıq, Tur dağını başınız üstünə qaldırdıq və buyurduq: “Sizə verdiyimizdən möhkəm yapışın və eşidin!” Küfrlərinə görə buzova olan məhəbbət onların qəlblərinə yeridilmişdi deyə, onlar: “Eşitdik və asi olduq!”– dedilər. De: “Əgər siz möminsinizsə, imanınızın sizə əmr etdiyi şey necə də pisdir!”",""
101,2,94,"De: “Əgər Allah yanında Axirət yurdu digər insanlara deyil, yalnız sizin üçün hazırlanıbsa və bu (iddianızda) doğrusunuzsa, onda (özünüzə) ölüm diləyin!”",""
102,2,95,"Onlar öz əlləri ilə etdikləri əməllərə görə heç vaxt ölüm diləməyəcəklər. Allah zalımları tanıyır.",""
103,2,96,"Onları insanlar içində dünya həyatına, hətta müşriklərdən də daha çox həris olduqlarını görərsən. Onlardan hər biri min il yaşamağını istər. Halbuki uzun ömür belə onu əzabdan uzaqlaşdırmaz. Allah onların nə etdiklərini görür.",""
104,2,97,"De: “Cəbrailə düşmən olan kəs (bilsin ki,) Allahın izni ilə (Quranı) özündən əvvəlkiləri təsdiqləyən, möminlərə doğru yol göstərən və müjdə verən (bir kitab) olaraq sənin qəlbinə o nazil etmişdir”.",""
105,2,98,"Kim Allaha, Onun mələklərinə və elçilərinə, Cəbrailə və Mikailə düşməndirsə, şübhəsiz ki, Allah da kafirlərə düşməndir.",""
106,2,99,"Biz sənə açıq-aydın ayələr nazil etdik, onları yalnız fasiqlər inkar edərlər.",""
107,2,100,"Onlar hər dəfə əhd bağladıqda, içərilərindən bir dəstə onu pozmadımı? Doğrusu, onların çoxu (buna) iman gətirməz.",""
108,2,101,"Onlara Allah tərəfindən özlərində olanı təsdiqləyən bir elçi gəldikdə, Kitab verilənlərdən bir dəstə guya (həqiqəti) bilmirmiş kimi Allahın Kitabına arxa çevirdi.",""
109,2,102,"Onlar Süleymanın səltənəti barədə şeytanların oxuduqlarına uydular. (Halbuki) Süleyman kafir olmadı. Lakin şeytanlar sehri və Babildə Harut və Marut adlı iki mələyə nazil olanı insanlara öyrədərək kafir oldular. (O iki mələk:) “Biz ancaq bir sınağıq, sən gəl kafir olma!”– deməmiş, onu heç kəsə öyrətmirdilər. (Yəhudilər) ərlə arvadı bir-birindən ayıracaq işləri onlardan öyrənirdilər. Lakin onlar Allahın izni olmadan heç kəsə zərər verə bilməzlər. Onlar özlərinə zərər verən və faydası olmayan şeyi öyrənirdilər. Onlar bilirdilər ki, bunu satın alan kimsələrin axirətdə heç bir payı yoxdur. Qarşılığında özlərini satdıqları şey necə də pisdir! Kaş (bunu) biləydilər!",""
110,2,103,"Əgər onlar iman gətirib (Allahdan) qorxsaydılar, Allahın verdiyi mükafat (onlar üçün) daha xeyirli olardı. Kaş bunu biləydilər!",""
111,2,104,"Ey iman gətirənlər! Peyğəmbərə: “Raina! (Bizə qayğı göstər!)”– deməyin, “Unzurna! (Bizə nəzər yetir!)”– deyin və (Allahın əmrini) eşidin! Kafirlər üçün ağrılı-acılı bir əzab vardır.",""
112,2,105,"Nə Kitab əhlinin kafir olanları, nə də müşriklər sizə Rəbbinizdən bir xeyir nazil olmasını istəməzlər. Allah isə Öz mərhəmətini istədiyi şəxsə məxsus edər. Allah böyük lütf sahibidir.",""
113,2,106,"Biz (hər hansı) bir ayəni nəsx edir və ya onu unutdururuqsa, ondan daha yaxşısını, yaxud ona bənzərini gətiririk. Məgər bilmirsən ki, Allah hər şeyə qadirdir?!",""
114,2,107,"Məgər bilmirsən ki, göylərin və yerin mülkü təkcə Allaha məxsusdur?! Sizin Allahdan başqa nə bir dostunuz, nə də bir yardımçınız vardır.",""
115,2,108,"Yoxsa daha öncə Musadan tələb edildiyi kimi siz də Peyğəmbərinizdən tələb etmək istəyirsiniz?! İmanı küfrə dəyişən kəs, əlbəttə, doğru yoldan azmışdır.",""
116,2,109,"Kitab əhlindən bir çoxu həqiqət özlərinə bəlli olduqdan sonra, içlərindəki həsəd üzündən sizi, imanınızdan sonra küfrə qaytarmaq istərlər. Allah Öz əmrini verincəyə qədər (onları) əfv edib bağışlayın! Həqiqətən, Allah hər şeyə qadirdir.",""
117,2,110,"Namaz qılın, zəkat verin! Qabaqcadan özünüz üçün nə xeyir hazırlasanız, onun (əvəzini) Allah yanında tapacaqsanız. Şübhəsiz ki, Allah nə etdiklərinizi görür.",""
118,2,111,"Onlar dedilər: “Yəhudilərdən və ya nəsranilərdən başqa heç kəs Cənnətə daxil olmayacaq!” Bu onların xam xəyallarıdır. De: “Əgər doğru deyirsinizsə, dəlilinizi gətirin!”",""
119,2,112,"Xeyr! Kim yaxşı əməl sahibi olduğu halda özünü Allaha təslim edərsə, Rəbbi yanında onun mükafatı olar. Onlara heç bir qorxu yoxdur və onlar kədərlənməyəcəklər.",""
120,2,113,"Yəhudilər dedilər: “Nəsranilər doğru yolda deyillər!” Nəsranilər də dedilər: “Yəhudilər doğru yolda deyillər!” Halbuki onlar Kitabı (Tövratı və İncili) oxuyurlar. (Kitabı) bilməyənlər də onlar kimi danışırlar. Allah ixtilafa düşdükləri şey barəsində Qiyamət günü onların arasında hökm verəcəkdir.",""
121,2,114,"Allahın məscidlərində Onun adının zikr edilməsinə maneçilik törədənlərdən və onların viranə qalmasına çalışanlardan daha zalım kim ola bilər?! Əslində, onların oraya yalnız qorxa-qorxa daxil olmaları gərəkdir. Onlar üçün dünyada rüsvayçılıq, axirətdə isə böyük bir əzab vardır.",""
122,2,115,"Məşriq də, məğrib də Allahındır! Hansı səmtə yönəlsəniz, Allahın Üzü oradadır. Həqiqətən, Allah hər şeyi əhatə edəndir, O, (hər şeyi) biləndir.",""
