"Translation Info:
#---------------------------
27,2,20,"สายฟ้าแลบเกือบเฉี่ยวเอาการมองเห็นของพวกเขาไป เมื่อใดก็ตามที่ฟ้าแลบได้ส่องแสงแก่พวกเขา พวกเขาก็เดินไปในแสงนั้น และเมื่อความมืดปกคลุมพวกเขา พวกเขาก็หยุดยืน และหากอัลลอฮ์ทรงประสงค์ แน่นอนพระองค์ก็จะทรงเอาการได้ยินและการมองเห็นของพวกเขาไป แท้จริงอัลลอฮ์ทรงมีอำนาจเหนือทุกสิ่ง",""
28,2,21,"โอ้มนุษย์เอ๋ย จงเคารพภัคดีต่อพระผู้อภิบาลของพวกเจ้าที่ทรงบังเกิดพวกเจ้าและบรรดาผู้ที่มาก่อนหน้าพวกเจ้า เพื่อว่าพวกเจ้าจะได้ยำเกรง",""
29,2,22,"(พระองค์)คือผู้ทรงทำให้แผ่นดินเป็นที่ปูรองสำหรับพวกเจ้า และท้องฟ้าเป็นหลังคา และทรงประทานน้ำฝนลงมาจากฟากฟ้า แล้วทรงให้ผลไม้นานาชนิดงอกเงยออกมาด้วยน้ำนั้นเพื่อเป็นปัจจัยยังชีพสำหรับพวกเจ้า ดังนั้นจงอย่าตั้งสิ่งใด ๆ เทียบเคียงกับอัลลอฮ์ ทั้งที่พวกเจ้ารู้อยู่แล้ว",""
30,2,23,"และหากพวกเจ้าอยู่ในความคลางแคลงสงสัยเกี่ยวกับสิ่งที่เราได้ประทานลงมาแก่บ่าวของเรา ดังนั้นจงนำมาสักซูเราะฮ์หนึ่งที่เทียบได้กับสิ่งนั้น และจงเชิญชวนบรรดาผู้ให้การช่วยเหลือพวกเจ้านอกจากอัลลอฮ์ หากพวกเจ้าเป็นผู้พูดจริง",""
31,2,24,"ดังนั้น หากพวกเจ้าทำมิได้ และแน่นอนพวกเจ้ามิอาจทำมันได้ ก็จงระวังไฟนรก ซึ่งเชื้อเพลิงของมัน คือ มนุษย์และหิน โดยที่มันได้ถูกเตรียมไว้สำหรับบรรดาผู้ปฏิเสธศรัทธา",""
32,2,25,"และจงแจ้งข่าวดีเถิด (โอ้ มุฮัมหมัด) แก่บรรดาผู้ศรัทธาและกระทำความดีทั้งหลายว่า สำหรับพวกเขามีสวนสวรรค์ซึ่งมีแม่น้ำหลายสายไหลอยู่เบื้องล่าง คราใดที่พวกเขาได้รับผลไม้จากสวนสวรรค์นั้นเป็นเครื่องยังชีพ พวกเขาจะกล่าวว่า: ""นี่คือสิ่งที่เราเคยได้รับเป็นปัจจัยยังชีพมาก่อนหน้านี้"" และสิ่งที่พวกเขาได้รับนั้นมีลักษณะที่คล้ายคลึงกัน และสำหรับพวกเขาจะมีคู่ครองที่บริสุทธิ์อยู่ในนั้น และพวกเขาจะพำนักอยู่ในนั้นตลอดกาล",""
33,2,26,"แท้จริงอัลลอฮ์ไม่ทรงละอายที่จะทรงยกอุทาหรณ์ใดๆ ขึ้นมาเปรียบเทียบ ไม่ว่าจะเป็นยุงหรือสิ่งที่เล็กกว่านั้น ดังนั้น บรรดาผู้ศรัทธา พวกเขาย่อมรู้ดีว่ามันคือความจริงจากพระผู้อภิบาลของพวกเขา ส่วนบรรดาผู้ปฏิเสธศรัทธา พวกเขาจะกล่าวว่า “อัลลอฮ์ทรงประสงค์สิ่งใดจากการยกอุทาหรณ์นี้?” ด้วยอุทาหรณ์นี้พระองค์ทรงทำให้ผู้คนมากมายหลงผิด และด้วยอุทาหรณ์นี้พระองค์ทรงแนะนำทางที่ถูกต้องแก่ผู้คนมากมาย และพระองค์จะไม่ทำให้ผู้ใดหลงผิดด้วยอุทาหรณ์นี้นอกจากบรรดาผู้ที่ฝ่าฝืนเท่านั้น",""
34,2,27,"คือบรรดาผู้ที่ทำลายสัญญาของอัลลอฮ์หลังจากที่ได้สัญญาไว้กับพระองค์ และตัดสิ่งที่อัลลอฮ์ทรงบัญชาให้เชื่อมต่อ และบ่อนทำลายในผืนแผ่นดิน ชนเหล่านี้คือกลุ่มชนผู้ขาดทุน",""
35,2,28,"พวกเจ้าปฏิเสธศรัทธาต่ออัลลอฮ์ได้อย่างไร?! ทั้งที่พวกเจ้าเคยปราศจากชีวิตมาก่อน แล้วพระองค์ก็ทรงให้พวกเจ้ามีชีวิตขึ้นมา จากนั้นพระองค์ก็จะทรงให้พวกเจ้าตาย แล้วพระองค์ก็จะทรงให้พวกเจ้าฟื้นคืนชีพอีกครั้ง แล้วพวกเจ้าก็จะถูกนำกลับไปสู่พระองค์",""
36,2,29,"พระองค์คือผู้ทรงสร้างทุกสิ่งที่อยู่ในแผ่นดินนี้สำหรับพวกเจ้า จากนั้นพระองค์ทรงมุ่งสู่ฟากฟ้า แล้วทรงทำให้ชั้นฟ้านั้นสมบูรณ์เป็นเจ็ดชั้น และพระองค์คือผู้ทรงรอบรู้ในทุกสิ่ง",""
37,2,30,"และจงรำลึกถึงขณะที่พระผู้อภิบาลของเจ้าได้ตรัสแก่บรรดามลาอิกะฮ์ว่า “แท้จริงข้าจะแต่งตั้งคอลีฟะฮ์บนหน้าแผ่นดิน” พวกเขากล่าวว่า “พระองค์จะทรงแต่งตั้งผู้ที่จะบ่อนทำลายและก่อการนองเลือดในแผ่นดินกระนั้นหรือ? ทั้งที่พวกเรากล่าวสดุดีด้วยการสรรเสริญพระองค์และเทิดทูนความบริสุทธิ์ของพระองค์อยู่เสมอ” พระองค์ตรัสว่า “แท้จริงข้ารู้ดียิ่งในสิ่งที่พวกเจ้าไม่รู้”",""
38,2,31,"และพระองค์ได้ทรงสอนบรรดานามของทุกสรรพสิ่งแก่อาดัม หลังจากนั้นพระองค์ทรงนำสรรพสิ่งเหล่านั้นมาแสดงให้แก่บรรดามลาอิกะฮ์ แล้วทรงตรัสว่า: “พวกเจ้าจงบอกบรรดานามของสรรพสิ่งเหล่านั้นแก่ข้า หากพวกเจ้าเป็นผู้พูดจริง”",""
39,2,32,"พวกเขากล่าวว่า “มหาบริสุทธิ์แด่พระองค์ พวกเราไม่มีความรู้ใด ๆ นอกจากสิ่งที่พระองค์ทรงสอนให้แก่พวกเราเท่านั้น แท้จริงพระองค์คือผู้ทรงรอบรู้ ผู้ทรงปรีชาญาณยิ่ง”",""
40,2,33,"พระองค์ตรัสว่า “โอ้อาดัม จงบอกพวกเขาเถิดเกี่ยวกับบรรดานามของสิ่งเหล่านั้น” เมื่อเขาได้บอกนามของสิ่งเหล่านั้นแก่พวกเขาแล้ว พระองค์จึงตรัสว่า “ข้ามิได้บอกแก่พวกเจ้าดอกหรือว่า แท้จริงข้ารู้ดียิ่งถึงสิ่งเร้นลับแห่งชั้นฟ้าทั้งหลายและแผ่นดิน และข้ารู้ดียิ่งถึงสิ่งที่พวกเจ้าเปิดเผยและสิ่งที่พวกเจ้าปกปิด”",""
41,2,34,"และจงรำลึกถึงขณะที่เรากล่าวแก่บรรดามลาอิกะฮ์ว่า “จงสุญูดต่ออาดัม” แล้วพวกเขาทั้งหมดก็สุญูดกัน นอกจากอิบลีส มันปฏิเสธการสุญูดและแสดงความโอหัง ดังนั้นมันจึงกลายเป็นผู้หนึ่งในหมู่ผู้ปฏิเสธศรัทธา",""
42,2,35,"และเราได้กล่าวว่า “โอ้ อาดัมเอ๋ย เจ้าและคู่ครองของเจ้าจงพำนักอยู่ในสวนสวรรค์เถิด และจงกินจากสวนสวรรค์นั้นอย่างมีความสุข ณ ที่ใดก็ได้ที่เจ้าทั้งสองปรารถนา และอย่าเข้าใกล้ต้นไม้ต้นนี้ มิเช่นนั้นแล้ว เจ้าทั้งสองจะกลายเป็นผู้หนึ่งในหมู่ผู้อธรรม”",""
43,2,36,"จากนั้นชัยฏอนได้ล่อลวงพวกเขาทั้งสองด้วยต้นไม้ต้นนั้น จึงทำให้ทั้งสองต้องออกจากที่ที่พวกเขาเคยพำนักอยู่ และเราได้กล่าวว่า “พวกเจ้าจงลงไป โดยบางส่วนในหมู่พวกเจ้าจะเป็นศัตรูกันกับอีกบางส่วน และสำหรับพวกเจ้านั้น จะมีที่พำนักและสิ่งอำนวยประโยชน์ในผืนแผ่นดินนั้นจนถึงระยะเวลาหนึ่ง""",""
44,2,37,"จากนั้นอาดัมได้รับถ้อยคำ(แห่งการกลับใจ)จากพระผู้อภิบาลของเขา แล้วพระองค์ก็ทรงตอบรับการกลับใจของเขา แท้จริงพระองค์คือผู้ทรงตอบรับการกลับใจ ผู้ทรงเมตตาเสมอ",""
45,2,38,"เราได้กล่าวว่า “พวกเจ้าทั้งหมดจงลงไปจากที่นี่ ดังนั้นหากมีคำแนะนำจากข้ามายังพวกเจ้า แล้วผู้ใดที่ปฏิบัติตามคำแนะนำของข้า ก็จะไม่มีความกลัวใด ๆ เกิดขึ้นกับพวกเขา และพวกเขาก็จะไม่เสียใจ”",""
46,2,39,"และบรรดาผู้ที่ปฏิเสธศรัทธา และไม่เชื่อต่อบรรดาโองการของเรา พวกเขาคือชาวนรก โดยที่พวกเขาจะอยู่ในนั้นตลอดกาล",""
47,2,40,"โอ้ วงศ์วานของอิสรออีลเอ๋ย จงรำลึกถึงความโปรดปรานของข้าที่ข้าได้มอบให้แก่พวกเจ้า และจงปฏิบัติตามพันธสัญญาที่พวกเจ้ามีต่อข้า แล้วข้าก็จะปฏิบัติตามพันธสัญญาที่ข้ามีต่อพวกเจ้า และเฉพาะข้าเท่านั้นพวกเจ้าจงเกรงกลัว",""
48,2,41,"และจงศรัทธาต่อสิ่งที่ข้าได้ประทานลงมา(คัมภีร์อัลกุรอาน) เพื่อเป็นการยืนยันความจริงในสิ่งที่มีอยู่กับพวกเจ้า และพวกเจ้าอย่าได้เป็นคนแรกที่ปฏิเสธต่อคัมภีร์นั้น และจงอย่าได้นำโองการของข้าไปแลกเปลี่ยนกับ (ผลประโยชน์ใดๆ) ที่มีราคาเพียงเล็กน้อย และเฉพาะข้าเท่านั้นพวกเจ้าจงยำเกรง",""
49,2,42,"และพวกเจ้าจงอย่าปะปนความจริงด้วยความเท็จ และจงอย่าปิดบังความจริงโดยที่พวกเจ้ารู้กันอยู่",""
50,2,43,"และพวกเจ้าจงดำรงไว้ซึ่งการละหมาด และจงจ่ายซะกาต และจงรุกั๊วะร่วมกับผู้ที่รุกั๊วะทั้งหลาย",""
51,2,44,"พวกเจ้าใช้ให้ผู้คนกระทำความดี โดยที่พวกเจ้าลืมตัวของพวกเจ้าเอง ทั้งที่พวกเจ้าอ่านคัมภีร์กระนั้นหรือ? พวกเจ้าไม่คิดบ้างหรือ?",""
52,2,45,"และพวกเจ้าจงขอความช่วยเหลือด้วยการอดทนและการละหมาด และแท้จริงการละหมาดนั้นเป็นเรื่องที่หนักยิ่ง นอกจากสำหรับบรรดาผู้ที่อ่อนน้อมเท่านั้น",""
53,2,46,"พวกเขาคือ บรรดาผู้ที่ศรัทธามั่นว่าพวกเขาต้องพบกับพระผู้อภิบาลของพวกเขา และพวกเขาต้องกลับไปหาพระองค์",""
54,2,47,"โอ้ วงศ์วานของอิสรออีลเอ๋ย จงรำลึกถึงความโปรดปรานของข้าที่ข้าได้มอบให้แก่พวกเจ้าเถิด และ (จงรำลึกเถิดว่า) แท้จริงข้าได้เทิดพวกเจ้าเหนือประชาชาติทั้งหลาย",""
55,2,48,"และจงเกรงกลัวต่อวันหนึ่งที่ไม่มีชีวิตใดที่จะให้การช่วยเหลือใด ๆ ให้อีกชีวิตหนึ่งได้ และจะไม่มีการยอมรับการขอความช่วยเหลือจากผู้ใด และจะไม่มีการรับค่าไถ่ใด ๆ จากชีวิตนั้น และพวกเขาจะไม่ได้รับการช่วยเหลือ",""
56,2,49,"และจงรำลึกถึงขณะที่เราได้ช่วยเหลือพวกเจ้าให้พ้นจากพวกพ้องของฟิรเอาน์ ซึ่งพวกเขาได้ทรมานพวกเจ้าอย่างแสนสาหัส พวกเขาได้เชือดบรรดาลูกชายของพวกเจ้าและปล่อยบรรดาผู้หญิงของพวกเจ้าให้มีชีวิตอยู่ และในเรื่องนั้น ถือเป็นความโปรดปรานอันใหญ่หลวงจากพระผู้อภิบาลของพวกเจ้า",""
57,2,50,"และจงรำลึกถึงขณะที่เราแยกทะเลออกเพื่อพวกเจ้า แล้วเราได้ช่วยพวกเจ้าให้รอด และเราได้ทำให้พวกพ้องของฟิรเอาน์จมน้ำ ขณะที่พวกเจ้ามองดูอยู่",""
58,2,51,"และจงรำลึกถึงขณะที่เราได้สัญญากับมูซาสี่สิบคืน แล้วพวกเจ้าได้ยึดลูกวัวเป็นที่เคารพสักการะหลังจากที่เขาไม่อยู่ และพวกเจ้าคือกลุ่มผู้อธรรม",""
59,2,52,"แล้วเราก็ได้ให้อภัยแก่พวกเจ้าหลังจากนั้น เพื่อว่าพวกเจ้าจักขอบคุณ",""
60,2,53,"และจงรำลึกถึงขณะที่เราได้ประทานคัมภีร์และอัลฟุรกอนแก่มูซา เพื่อว่าพวกเจ้าจะได้รับคำแนะนำที่ถูกต้อง",""
61,2,54,"และจงรำลึกถึงขณะที่มูซาได้กล่าวแก่หมู่ชนของเขาว่า “โอ้ หมู่ชนของข้าเอ๋ย แท้จริงพวกเจ้าได้อธรรมต่อตนเอง ด้วยการที่พวกเจ้าได้เอาลูกวัวเป็นที่เคารพสักการะ ดังนั้น จงกลับเนื้อกลับตัวต่อพระผู้สร้างของพวกเจ้า และจงฆ่าตัวของพวกเจ้าเสีย นั่นถือเป็นสิ่งที่ดีที่สุดสำหรับพวกเจ้า ณ พระผู้สร้างของพวกเจ้า” แล้วพระองค์ทรงตอบรับการกลับเนื้อกลับตัวของพวกเจ้า แท้จริงพระองค์คือผู้ทรงตอบรับการกลับเนื้อกลับตัว ผู้ทรงเมตตาเสมอ",""
62,2,55,"และจงรำลึกถึงขณะที่พวกเจ้ากล่าวว่า “โอ้ มูซา เราจะไม่ศรัทธาต่อเจ้า จนกว่าเราจะได้เห็นอัลลอฮ์อย่างเปิดเผย” แล้วสายฟ้าฝ่าก็ฟาดใส่พวกเจ้าขณะที่พวกเจ้ามองดูอยู่",""
63,2,56,"หลังจากนั้นเราได้ให้พวกเจ้าคืนชีพหลังจากที่พวกเจ้าได้ตายไปแล้ว เพื่อว่าพวกเจ้าจักขอบคุณ",""
64,2,57,"และเราได้ทำให้เมฆเป็นร่มเงาให้แก่พวกเจ้า และเราได้ส่ง อัน-มันนะ และอัศ-ซัลวา ลงมาแก่พวกเจ้า พวกเจ้าจงกินจากสิ่งที่ดีที่เราได้ให้เป็นปัจจัยยังชีพแก่พวกเจ้า และพวกเขาไม่ได้อธรรมต่อเราเลย แต่ทว่าพวกเขาต่างหากได้อธรรมต่อตัวของพวกเขาเอง",""
65,2,58,"และจงรำลึกถึง ตอนที่เรากล่าวว่า “จงเข้าไปในดินแดนนี้ (บัยตุลมักดิส) แล้วจงบริโภคสิ่งมีที่อยู่ในเมืองนี้อย่างมีความสุข ดังที่พวกเจ้าปรารถนา และจงเข้าทางประตูเมืองโดยโค้งคำนับด้วยความนอบน้อม และจงกล่าว “หิฏเฏาะฮ์” (โอ้อัลลอฮ์ โปรดอภัยบาปของเราด้วยเถิด) เพื่อเราจะได้อภัยโทษบาปต่าง ๆ ของพวกเจ้า และเราจะเพิ่มพูนแก่บรรดาผู้กระทำความดี”",""
66,2,59,"แล้วบรรดาผู้อธรรมเหล่านั้น ได้เอาถ้อยคำอื่นมาแทนที่ (คำสั่งของเรา) ที่ได้กล่าวไว้แก่พวกเขา ดังนั้น เราได้ส่งการลงโทษจากฟากฟ้าลงมายังกลุ่มชนผู้อธรรม เนื่องจากพวกเขาฝ่าฝืน",""
67,2,60,"และจงรำลึกถึงขณะที่มูซาได้อธิษฐานขอน้ำแก่กลุ่มชนของเขา แล้วเราก็กล่าวว่า ""จงตีหินด้วยไม้เท้าของเจ้า"" แล้วตาน้ำสิบสองตาก็พุ่งน้ำออกมาจากหินนั่น และทุกคนต่างก็รู้จักแหล่งน้ำของตน “จงกินและจงดื่มจากปัจจัยยังชีพของอัลลอฮ์ และอย่าก่อความเสื่อมทรามในแผ่นดิน ในฐานะผู้บ่อนทำลาย”",""
68,2,61,"และจงรำลึกถึงขณะที่พวกเจ้ากล่าวว่า “โอ้ มูซา เราไม่สามารถทานอาหารชนิดเดียวกันได้ ดังนั้นจงวิงวอนต่อพระผู้อภิบาลของเจ้าให้เราด้วย เพื่อให้นำสิ่งที่งอกออกมาจากพื้นดินให้แก่พวกเรา ซึ่งได้แก่ พืชผัก แตงกวา กระเทียม ถั่ว และหัวหอม” มูซากล่าวว่า “พวกเจ้าต้องการเอาสิ่งที่ด้อยกว่ามาแทนที่สิ่งที่ดีกว่ากระนั้นหรือ? พวกเจ้าจงลงไปที่เมืองใดเมืองหนึ่ง แล้วพวกเจ้าจะได้ในสิ่งที่พวกเจ้าต้องการ” และแล้วพวกเขาก็ต้องประสบกับความอัปยศและความขัดสน และได้รับความพิโรธจากอัลลอฮ์ นั่นเป็นเพราะพวกเขาปฏิเสธโองการของอัลลอฮ์ และฆ่าบรรดานบีโดยปราศจากความเป็นธรรม นั่นเป็นเพราะการฝ่าฝืนของพวกเขาและพวกเขามักละเมิดอยู่เสมอ",""
69,2,62,"แท้จริงบรรดาผู้ศรัทธา และบรรดาผู้ที่เป็นชาวยิว คริสเตียน และบรรดาศอบิอีน (กลุ่มชนที่ศรัทธาต่อนบีบางท่าน) ผู้ใดในหมู่พวกเขาได้ศรัทธาต่ออัลลอฮ์และวันสุดท้าย และได้กระทำความดี ดังนั้นพวกเขาจะได้รับรางวัลของพวกเขา ณ ที่พระผู้อภิบาลของพวกเขา และไม่มีความกลัวใด ๆ เกิดขึ้นกับพวกเขา และพวกเขาก็จะไม่เสียใจ",""
70,2,63,"และจงรำลึกถึงขณะที่เราได้เอาพันธสัญญาจากพวกเจ้า และเราได้ยกภูเขาให้อยู่เหนือพวกเจ้า (โดยที่เรากล่าวว่า): “จงยึดมั่นสิ่งที่เราได้ประทานแก่พวกเจ้า (คัมภีร์เตารอต) ด้วยความมุ่งมั่น และจงรำลึกสิ่งที่อยู่ในนั้น เพื่อพวกเจ้าจะได้ยำเกรง”",""
71,2,64,"แล้วหลังจากนั้น พวกเจ้าก็ผินหลังให้ (หลังจากที่ได้ทำพันธสัญญากับอัลลอฮ์แล้ว) ถ้าไม่ใช่เพราะความกรุณาของอัลลอฮ์และความเมตตาของพระองค์ที่มีต่อพวกเจ้า (โดยการเปิดประตูแห่งการสำนึกผิด) พวกเจ้าก็จะอยู่ในหมู่ผู้ขาดทุนอย่างแน่นอน",""
72,2,65,"และแน่นอน พวกเจ้ารู้ดีอยู่แล้วถึงบรรดาผู้ที่ละเมิดในหมู่พวกเจ้าเกี่ยวกับวันสะบาโต (วันเสาร์) แล้วเราได้กล่าวแก่พวกเขาว่า “พวกเจ้าจงกลายเป็นลิงที่น่ารังเกียจเถิด”",""
73,2,66,"ดังนั้น เราได้ทำให้สิ่งที่เกิดขึ้นนั้นเป็นบทเรียนแก่บรรดาผู้ที่อยู่ในขณะนั้นและผู้ที่มาหลังจากนั้น และเป็นการตักเตือนแก่บรรดาผู้ยำเกรง",""
74,2,67,"และจงรำลึกถึง ขณะที่มูซาได้กล่าวแก่หมู่ชนของเขาว่า “แท้จริงอัลลอฮ์ทรงบัญชาพวกเจ้าให้เชือดวัวตัวเมียตัวหนึ่ง” พวกเขากล่าวว่า “เจ้าอยอกเล่นกับพวกเราใช่ใหม?” มูซากล่าวว่า: ""ฉันขอความคุ้มครองต่ออัลลอฮ์ให้พ้นจากการเป็นหนึ่งในหมู่ผู้โง่เขลา""",""
75,2,68,"พวกเขากล่าวว่า “เจ้าจงวิงวอนต่อพระผู้อภิบาลของเจ้าให้ชี้แจงแก่เราว่า “วัวตัวนั้นเป็นอย่างไร?” มูซากล่าวว่า “อัลลอฮ์ตรัสว่า ‘มันเป็นวัวที่ไม่แก่เกินไปและไม่อ่อนเกินไป แต่ให้อยู่ระหว่างนั้น’ ดังนั้นจงปฏิบัติตามที่พวกเจ้าได้รับบัญชาเถิด”",""
76,2,69,"พวกเขากล่าวว่า “เจ้าจงวิงวอนต่อพระผู้อภิบาลของเจ้าให้ชี้แจงแก่เราว่า ""มันมีสีอะไร? มูซากล่าวว่า “แท้จริงพระองค์ทรงตรัสว่า ‘มันเป็นวัวสีเหลือง สีเหลืองของมันนั้นเข็มสดใส สร้างความสุขสำหรับผู้พบเห็น”",""
