"Translation Info:
#---------------------------
14,2,7,"Allah a zăvorât inimile și urechile lor, iar peste ochii lor este un văl. Și ei vor avea [parte de] o pedeapsă mare.",""
15,2,8,"Și printre oameni sunt unii care spun: „Noi credem în Allah și în Ziua de Apoi”, dar ei nu sunt credincioși.",""
16,2,9,"Ei [se gândesc] să-L înșele pe Allah și pe cei care cred, dar nu se înșeală decât pe ei înșiși, și nu își dau seama.",""
17,2,10,"În inimile lor este o boală[4], iar Allah le va spori boala și vor avea parte de o pedeapsă dureroasă pentru că ei obișnuiau să mintă.","[4] „Boala” menționată aici include îndoială, ipocrizie, aroganță și necredință"
18,2,11,"Iar dacă li se spune: „Nu faceți stricăciune pe pământ!”, ei zic: „Dar noi suntem făcători de bine”.",""
19,2,12,"Cu adevărat, ei sunt cei făcători de stricăciune, dar nu-și dau seama.",""
20,2,13,"Iar atunci când li se spune: „Credeți, așa cum au crezut oamenii!”, ei zic: „Să credem precum au crezut cei fără de minte?”. Cu adevărat ei sunt cei fără de minte, dar nu știu!",""
21,2,14,"Iar atunci când se întâlnesc cu cei care au crezut, ei spun: „Noi credem.”, însă când rămân singuri cu Șeitanii[5] lor, spun: „Noi suntem cu voi, doar ne batem joc”.","[5] „Căpeteniile lor”, dar și „semenii lor întru rău”"
22,2,15,"[Dar] Allah îi ridiculizează și le prelungește fărădelegea [în timp ce] ei rătăcesc în neștire.",""
23,2,16,"Aceia sunt cei care au schimbat calea cea dreaptă cu rătăcirea, dar negoțul lor nu le-a adus câștig și ei nu au fost călăuziți.",""
24,2,17,"Exemplul lor este precum al celui care a aprins un foc, dar când a luminat ceea ce se afla în jurul lui, Allah le-a luat lumina[6] și i-a lăsat în întuneric, iar ei nu mai văd nimic.","[6] Cineva aprinde focul pentru o singură persoană, iar lumina se revarsă asupra tuturor"
25,2,18,"[Ei sunt] surzi, muți, orbi și nu se întorc [la Calea cea Dreaptă].",""
26,2,19,"Sau [sunt] precum o ploaie puternică ce cade din cer însoțită de întuneric, tunet și fulger. Ei își pun degetele în urechi din pricina trăsnetelor, de frica morții, dar Allah îi împresoară pe necredincioși.",""
27,2,20,"Fulgerul aproape că le răpește văzul. De fiecare dată când le luminează [calea], ei înaintează, dar când se lasă întunericul, se opresc. Iar dacă Allah ar fi Vrut, le-ar fi luat auzul și văzul. Cu adevărat Allah este peste toate cu Putere.",""
28,2,21,"O, voi oameni, slăviți-L pe Domnul vostru, care v-a creat pe voi și pe cei de dinaintea voastră, pentru ca voi să aveți frică [de El].",""
29,2,22,"[Cel] care a făcut Pământul un pat[7] și Cerul o zidire și a pogorât din Cer ploaie și a scos prin ea fructe drept hrană pentru voi. Așadar, nu-i faceți lui Allah parteneri în timp ce voi știți [toate acestea]!","[7] Loc de odihnă stabil"
30,2,23,"Iar dacă vă îndoiți de cele pe care i le-am revelat robului Nostru [Mohammed], aduceți o Sură asemănătoare și chemați-vă martorii [susținătorii] cei în afară de Allah, dacă sunteți sinceri!",""
31,2,24,"Și dacă nu o faceți - și nu o veți putea face - atunci feriți-vă de Focul care mistuie oamenii și pietrele, pregătit pentru necredincioși!",""
32,2,25,"Și spune-le celor care cred și fac fapte bune că ei vor avea Grădini [în Paradis] pe sub care curg râuri! De câte ori vor primi din ele un rod, ca hrană, vor zice: „Acestea sunt cele pe care le-am primit și mai înainte!”, căci li s-au dat [lor și altele] asemănătoare cu ele. Și ei vor avea în ele soții curate și în ele veșnic vor fi sălășluitori.",""
33,2,26,"Cu adevărat Allah nu se sfiește să dea ca exemplu un țânțar sau ceva deasupra lui[8]. Iar cei care au crezut știu că este adevărul de la Domnul lor. Cât despre cei care nu cred, ei spun: „Ce a vrut Allah cu acest exemplu?”. Prin el, îi rătăcește pe mulți și îi călăuzește pe mulți, dar nu îi rătăcește decât numai pe cei nelegiuiți.","[8] Literar „deasupra lui” adică mult mai mic."
34,2,27,"Care încalcă legământul cu Allah, după încheierea lui, și despart ceea ce Allah a Poruncit să fie împreună și fac stricăciune pe Pământ. Ei sunt cei care pierd.",""
35,2,28,"Cum de nu credeți în Allah când ați fost fără viață și El v-a dat viață, apoi El vă va face să muriți, apoi vă va învia și apoi la El vă veți întoarce.",""
36,2,29,"El este Acela care a creat pentru voi toate câte sunt pe Pământ, apoi S-a înălțat la Cer [Allah se află deasupra creației] și a făcut cele șapte Ceruri și El este Știutorul tuturor lucrurilor.",""
37,2,30,"Și [spune, o, Mohammed] atunci când Stăpânul tău le-a zis Îngerilor: „Cu adevărat voi pune pe Pământ un succesor [khalifa]”, ei i-au răspuns: „Vei pune pe cineva care să facă stricăciune pe el și să pricinuiască vărsare de sânge, când noi îți aducem Slavă Ție și pe Tine Te adorăm cu sfințenie?” Și [Allah] a zis: „Eu Știu ceea ce voi nu știți.”",""
38,2,31,"Și l-a învățat pe Adam numele tuturor lucrurilor. Apoi le-a arătat Îngerilor și le-a zis: „Vestiți-Mi Mie numele acestora, dacă voi sunteți sinceri!”",""
39,2,32,"Ei au răspuns: „Mărire Ție! Noi nu știm decât despre ceea ce Tu ne-ai învățat, căci Tu ești Al-Alim [Atoateștiutorul], Al-Hakim [Înțeleptul]”.",""
40,2,33,"El a spus: „O, Adam, vestește-le numele lor!” Și după ce le-a vestit numele lor, El a spus: „Nu v-am spus că Eu le Știu pe cele nevăzute din Ceruri și de pe Pământ? Și Eu Știu ceea ce dezvăluiți și ceea ce ascundeți?”",""
41,2,34,"Și [spune] atunci când le-am spus Îngerilor: „Prosternați-vă dinaintea lui Adam!” Și s-au prosternat, cu excepția lui Iblis[9], care s-a împotrivit, a fost arogant și a devenit unul dintre necredincioși.","[9] Nume propriu al diavolului, conducătorul lor, unul dintre djinni"
42,2,35,"Și Noi am spus: „O, Adam, sălășluiește tu împreună cu soața ta în Paradis! Mâncați din el pe îndestulate, ori de unde voiți, dar să nu vă apropiați de acest pom, pentru ca să nu fiți dintre cei nedrepți!”",""
43,2,36,"Dar Şeitan i-a ademenit [să mănânce] din el și i-a scos pe ei de unde se aflau[10]. Și le-am zis lor: „Coborâți și dușmani vă veți fi unul altuia [diavolul vouă și voi lui]! Și veți avea pe Pământ un sălaș și provizii pentru un timp!”","[10] Din condiția în care se aflau"
44,2,37,"Apoi Adam a primit de la Domnul său cuvinte[11] și El i-a acceptat căința. Cu adevărat El este At-Tauuab [Iertător], Ar-Rahim [Îndurător].","[11] Allah l-a învățat pe Adam cuvinte cu care să se roage pentru a se căi"
45,2,38,"Noi am zis: „Coborâți [din Rai] cu toții și când va veni la voi o Călăuzire[12] de la Mine, cei care vor urma Călăuzirea Mea nu vor avea [motive de] temeri și nici nu se vor întrista.","[12] Un Trimis al meu pentru a vă transmite credința în Allah și a vă călăuzi pe Calea cea Dreaptă"
46,2,39,"Iar aceia care nu cred și nu acceptă semnele Noastre, aceia vor fi părtașii Focului și în el se vor afla veșnic.”",""
47,2,40,"O, voi Fii ai lui Israel, aduceți-vă aminte de binele pe care vi l-am făcut și țineți-vă legământul făcut Mie, iar Eu îmi voi ține legământul făcut vouă și aveți frică [doar] față de Mine.",""
48,2,41,"Credeți în ceea ce v-am trimis, confirmând ceea ce voi aveți [deja] și nu fiți primii care nu cred în el. Și nu vindeți semnele Mele pentru un preț mic și aveți frică [doar] față de Mine!",""
49,2,42,"Și nu amestecați adevărul cu minciuna și nu ascundeți adevărul, când voi [îl] știți!",""
50,2,43,"Efectuați Rugăciunea, oferiți Zakat[13] și plecați-vă împreună cu cei care se pleacă!","[13] O plată anuală făcută pentru beneficiul comunității musulmane (vezi 9:60) obligatorie pentru musulmanii înstăriți. Rugăciunea și Zakat-ul fac parte din stâlpii Islamului."
51,2,44,"Voi le porunciți oamenilor dreptatea, dar uitați de voi înșivă, cu toate că voi citiți Scriptura? Voi nu pricepeți?!",""
52,2,45,"Și căutați ajutor prin răbdare și Rugăciune! Într-adevăr ea este grea, însă nu pentru cei care I se supun [lui Allah].",""
53,2,46,"Care cred că Îl vor întâlni pe Domnul lor și care cred că la El se vor întoarce.",""
54,2,47,"O, voi, Fii ai lui Israel, aduceți-vă aminte de binele pe care vi l-am făcut și că Eu v-am preferat înaintea lumilor [popoarelor].",""
55,2,48,"Și fiți cu frică de o Zi în care niciun suflet nu va putea face nimic pentru alt suflet și nu se va primi nicio mijlocire de la el, nici nu se va lua de la el schimb și nici nu vor putea fi ele ajutate!",""
56,2,49,"[Și aduceți-vă aminte] când Noi v-am salvat [pe strămoșii voștri] de poporul lui Faraon, care v-a supus la chinuri groaznice, omorându-vă copiii [nou-născuți] și cruțând viața femeilor voastre! În aceasta a fost o mare încercare de la Domnul vostru.",""
57,2,50,"Și [aduceți-vă aminte] când Noi am despărțit marea pentru voi și v-am salvat pe voi și am înecat neamul lui Faraon, în timp ce voi priveați.",""
58,2,51,"Și [aduceți-vă aminte] când Ne-am înțeles cu Moise pentru patruzeci de nopți[14], iar voi ați ales vițelul [pentru a-l adora], în lipsa lui [Moise] și ați fost voi nelegiuiți.","[14] Să-i pogoare Allah Tora"
59,2,52,"Apoi v-am iertat pe voi, după aceea, poate că veți fi mulțumitori.",""
60,2,53,"Și [aduceți-vă aminte] când Noi i-am dat lui Moise Scriptura și Legea[15] pentru ca voi să fiți călăuziți.","[15] Diferențierea dintre adevăr și minciună. „Scriptura și Legea” se referă la Tora"
61,2,54,"Și [aduceți-vă aminte] când Moise i-a spus poporului său: „O, neam al meu, cu adevărat ați fost nedrepți cu voi înșivă prin adorarea vițelului. Deci cereți iertare Creatorului vostru și răpuneți-vă unii pe alții [pe cei vinovați dintre voi]. Aceasta este mai bine pentru voi la Creatorul vostru, iar El v-a acceptat căința, căci El este At-Tauuab [Iertător], Ar-Rahim [Îndurător].”",""
62,2,55,"Și [aduceți-vă aminte] când ați spus: „O, Moise! Nu te vom crede până când nu-L vom vedea pe Allah deslușit. Și trăsnetul v-a ucis în timp ce voi priveați.",""
63,2,56,"Apoi v-am înviat după ce ați murit, poate că veți fi mulțumitori.",""
64,2,57,"Și am făcut să vă umbrească nori și v-am trimis mana și prepelițe [spunând:] „Mâncați din bunătățile pe care vi le-am dăruit!” Iar ei nu au fost nedrepți cu Noi, ci [doar] față de ei înșiși.",""
65,2,58,"Și [aduceți-vă aminte] când Noi am spus: „Intrați în această cetate [Ierusalim] și mâncați [din bunătățile ei] oriunde veți dori și intrați pe poartă cu smerenie și spuneți: „Ușurează-ne nouă greutățile [păcatele]”, iar Noi vă vom ierta păcatele și le vom înmulți [răsplata] celor care fac bine.”",""
66,2,59,"Dar cei nedrepți au schimbat [cuvintele] cu altele decât cele care li s-au poruncit și am trimis asupra celor care au fost nedrepți, pedeapsă din Cer, pentru că ei au fost nelegiuiți.",""
67,2,60,"Și [aduceți-vă aminte] când Moise a cerut apă pentru poporul său și i-am spus: „Lovește stânca cu toiagul tău!” Și au țâșnit din ea douăsprezece izvoare și fiecare popor și-a cunoscut locul său de băut. „Mâncați și beți din proviziile lui Allah și nu faceți rău pe Pământ!”",""
68,2,61,"Și [aduceți-vă aminte] când ați spus voi: „O, Moise! Nu vom putea îndura un singur fel de mâncare! Roagă-te la Domnul tău să scoată pentru noi din ceea ce dă pământul, din [roadele lui]: ierburi verzi, castraveți, usturoi, linte și ceapă!” A zis el: „Vreți să schimbați ce este mai bun cu ceea ce este mai rău? Mergeți în [orice altă] cetate și veți avea ceea ce ați cerut!” Și a căzut asupra lor umilință și sărăcie și s-au întors însoțiți de mânia lui Allah. Aceasta pentru că ei nu au crezut [în mod repetat] în semnele lui Allah și i-au ucis pe Profeți pe nedrept. Aceasta pentru că ei nu au ascultat și nu au respectat [în mod repetat] legile.",""
69,2,62,"Cu adevărat, cei care au crezut și cei care erau evrei sau creștini sau sabeeni [înainte de profetul Mohammed (pacea și binecuvântarea lui Allah fie asupra sa)], cei care au crezut în Allah și în Ziua Judecății și au făcut bine, vor avea răsplata lor de la Domnul lor și nu se vor teme și nici nu se vor mâhni[16].","[16] Allah nu va accepta nicio altă religie după venirea profetului Mohammed (pacea și binecuvântarea lui Allah fie asupra sa) așa cum este menționat în 3:85"
70,2,63,"Și [aduceți-vă aminte] când Noi am încheiat legământul cu voi [O, Fii ai lui Israel, pentru ca voi să dați ascultare Torei] și am ridicat deasupra voastră muntele [spunând]: „Țineți ceea ce v-am dat cu tărie și amintiți-vă ceea ce este într-aceea, poate că veți fi cu frică.”",""
71,2,64,"Apoi v-ați îndepărtat după aceea și dacă nu ar fi fost Binecuvântarea lui Allah și Îndurarea Lui asupra voastră, ați fi fost printre cei pierduți.",""
72,2,65,"Și voi ați știut ce au pățit aceia dintre voi care au nerespectat Sabatul și le-am spus: „Fiți maimuțe disprețuite!”",""
73,2,66,"Și am făcut-o o pedeapsă pentru cei din vremea lor și pentru cei de după ei și o lecție pentru cei ce au frică de Allah.",""
74,2,67,"Și [aduceți-vă aminte] când Moise i-a spus poporului său: „Cu adevărat, Allah vă poruncește să sacrificați o vacă!” Și ei au răspuns: „Ne iei în derâdere?” Iar el le-a răspuns: „Caut refugiu la Allah pentru a nu fi dintre cei ignoranți!”",""
75,2,68,"Ei au spus: „Roagă-te pentru noi Domnului tău să ne arate limpede cum să fie!” [Moise] a răspuns: „[Allah] spune «Să fie o vacă nici prea bătrână, nici prea tânără, ci de vârstă mijlocie» și faceți ce vi se poruncește!”",""
76,2,69,"Ei au spus: „Roagă-te pentru noi Domnului tău să ne arate limpede culoarea ei!” A răspuns: „El spune «Să fie o vacă de culoare galben strălucitor, plăcută la privire.»”",""
77,2,70,"Ei au spus: „Roagă-te pentru noi Domnului tău să ne arate care să fie ea, căci pentru noi vacile sunt la fel. Și cu adevărat dacă Allah va Voi, vom fi călăuziți!”",""
78,2,71,"El a spus: „El zice «Să nu fie o vacă ce ară pământul și adapă semănăturile, ci una sănătoasă, fără nicio pată pe ea.»” Ei au spus: „Acum ai adus adevărul!” Și au sacrificat-o, dar puțin a lipsit să nu o facă.",""
79,2,72,"Și [aduceți-vă aminte] când ați omorât un suflet și v-ați învinuit unii pe alții, dar Allah a scos la iveală ceea ce voi țineați ascuns!",""
80,2,73,"Și Noi am spus: „Loviți-l pe el [pe cel omorât] cu o bucată din ea!”[17] Așa Allah îi va readuce la viață pe cei morți și El vă arată semnele Sale, poate că astfel o să pricepeți.","[17] Din vacă. Apoi Allah l-a readus la viață pe om, care le-a spus cine l-a omorât."
81,2,74,"După acea inimile voastre s-au întărit asemenea pietrelor și poate și mai tare. Pentru că, într-adevăr, sunt pietre din care țâșnesc râuri, iar altele se despică și iese din ele apă și sunt altele ce se prăbușesc de frica lui Allah. Iar Allah Știe ceea ce faceți voi.",""
82,2,75,"Sperați voi [o, credincioșilor] ca ei să creadă cu voi, când o parte dintre ei au auzit Cuvântul lui Allah [Tora] și apoi l-au răstălmăcit, după ce l-au priceput, cu buna lor știință?",""
83,2,76,"Și când se întâlnesc cu cei care cred, ei spun: „Noi credem!” Dar când rămân numai între ei, spun: „Voi le vorbiți despre ceea ce Allah v-a revelat pentru ca ei să se certe cu voi pentru aceasta dinaintea Domnului vostru?” Oare voi nu pricepeți?",""
84,2,77,"Nu știu ei că Allah Știe atât ceea ce ei ascund, cât și ceea ce ei rostesc cu glas tare?",""
85,2,78,"Și printre ei sunt neînvățați care nu cunosc Scriptura, ci au doar năluciri, și ei doar bănuiesc.",""
86,2,79,"Dar vai[18] acelora care scriu Scriptura cu mâinile lor și apoi spun „Aceasta este de la Allah!”, pentru a obține un preț mic! Vai pentru ceea ce mâinile lor au scris și vai lor pentru ceea ce câștigă!","[18] Moarte și distrugere"
87,2,80,"Iar ei spun: „Nu ne va atinge Focul decât câteva zile numărate!” Spune-le: „Aveți un legământ cu Allah? Pentru că Allah nu Își va încălca niciodată legământul! Sau voi spuneți despre Allah ceea ce nu știți?”",""
88,2,81,"Dar nu! Aceia care au săvârșit un păcat și pe care i-a împresurat păcatul, aceia sunt oaspeții Focului și ei în el vor rămâne veșnic.",""
89,2,82,"Dar cei care cred și fac fapte bune vor fi oaspeții Raiului și vor rămâne în el pentru totdeauna.",""
90,2,83,"Și [aduceți-vă aminte] când Noi am făcut legământ cu Fiii lui Israel: „Să nu-L adorați decât pe Allah și cu părinții voștri să vă purtați bine, la fel și cu rudele, cu orfanii și cu sărmanii! Și vorbiți-le oamenilor în mod frumos, îndepliniți Rugăciunea și oferiți Dania anuală obligatorie!” Apoi voi ați renunțat, cu excepția unora dintre voi, și v-ați abătut.",""
91,2,84,"Și [aduceți-vă aminte] când Noi am făcut legământ cu voi [spunând] „Să nu vărsați sângele vostru și să nu vă alungați unii pe alții din casele voastre.” Atunci ați încuviințat aceasta și voi puteți fi martori.",""
92,2,85,"Apoi voi înșivă v-ați omorât unul pe celălalt și ați alungat o parte dintre voi din casele lor, întrajutorându-vă împotriva lor în păcate și dușmănie. Iar dacă ei au venit captivi la voi, i-ați răscumpărat, deși alungarea lor v-a fost interzisă. Oare voi credeți numai într-o parte a Scripturii și respingeți o altă parte? Atunci care va fi răsplata acelora dintre voi care fac aceasta, decât rușinea în această viață și supunerea lor la cele mai cumplite chinuri în Ziua Învierii? Allah nu este fără băgare de seamă la ceea ce faceți voi.",""
93,2,86,"Ei sunt cei care au preferat Viața lumească în locul Vieții de Apoi, iar pedeapsa lor nu le va fi ușurată și nici nu vor fi ajutați.",""
94,2,87,"Și, cu adevărat, Noi i-am dăruit lui Moise Scriptura [Tora] și am trimis după el și alți Mesageri. Și i-am dăruit lui Iisus, fiul Mariei, dovezi clare și l-am întărit pe el cu Duhul Sfânt [Îngerul Gavriil]. Însă de fiecare dată când a venit la voi [o, Fii ai lui Israel,] un Mesager cu ceea ce nu le plăcea sufletelor voastre, ați devenit aroganți? Și pe o parte dintre Mesageri i-ați învinuit de minciună, iar pe o altă parte i-ați omorât.",""
95,2,88,"Și ei au spus: „Inimile noastre sunt învăluite.”[19] Dar [de fapt] Allah i-a blestemat pentru necredința lor și ei doar puțin cred.","[19] Acoperite sau închise și nu pot primi Cuvintele lui Allah"
96,2,89,"Și când a venit la ei o Carte [Coranul] de la Allah, confirmând-o pe cea pe care o aveau ei - deși înainte se rugau pentru o victorie împotriva celor care nu credeau -, dar [atunci] când le-a venit ceea ce ei știau, nu au crezut; astfel că blestemul lui Allah va fi asupra celor care nu cred!",""
97,2,90,"Pe nimica toată și-au vândut sufletele lor – tăgăduind ceea ce Allah a pogorât, cu pizmă pentru ceea ce pogoară Allah cu Harul Lui acelora dintre robii Săi pe care El îi Voiește. Și au avut ei parte de mânie peste mânie. Iar necredincioșii au parte de chinuri umilitoare.",""
98,2,91,"Și când li se spune lor: „Credeți în ceea ce a trimis Allah!”, ei spun: „Noi credem [doar] în ceea ce ne-a fost trimis nouă!” Și ei nu cred în ceea ce a venit mai apoi, deși este Adevărul ce confirmă ceea ce ei știau! Spune: „Și de ce i-ați omorât pe Profeții lui Allah de mai înainte, dacă ați fost [cu adevărat] dreptcredincioși?”",""
99,2,92,"Și într-adevăr Moise v-a adus dovezi clare, dar după aceea voi ați ales vițelul [în adorare] și ați fost nelegiuiți.",""
100,2,93,"Și [aduceți-vă aminte] când am încheiat legământul cu voi și am ridicat deasupra voastră muntele [spunând]: „Țineți ceea ce v-am dat, cu tărie, și ascultați!” Ei au răspuns: „Am auzit, dar nu ne supunem!” Și au fost adăpate inimile lor cu vițelul pentru necredința lor. Spune: „Ce lucru josnic vă poruncește credința voastră, dacă voi sunteți credincioși!”",""
101,2,94,"Spune [o, Mohammed]: „Dacă casa din Viața de Apoi la Allah este numai pentru voi și nu și pentru alți oameni, atunci doriți-vă moartea, dacă sunteți cinstiți!”",""
102,2,95,"Dar ei nu și-o vor dori niciodată, din pricina celor săvârșite cu mâinile lor. Iar Allah este Știutor al nelegiuiților.",""
103,2,96,"Și cu siguranță îi vei găsi pe ei cei mai lacomi de viață dintre oameni – și mai mult chiar decât păgânii [politeiștii]. Fiecare dintre ei ar vrea să i se dea să trăiască o mie de ani, dar nu se va găsi izbăvitor de chinuri pentru el, nici de va trăi atât de mult, căci Allah Vede ce fac ei.",""
104,2,97,"Spune: „Cine este dușmanul lui Gavriil?” – cel care ți-a pogorât [Coranul] în inima ta [o, Mohammed], cu Îngăduința lui Allah, confirmând ceea ce era înaintea lui, drept călăuzire și bunăvestire pentru credincioși.",""
105,2,98,"Cel care este dușmanul lui Allah, al Îngerilor și al Mesagerilor Săi, al lui Gavriil și al lui Mihail – atunci cu adevărat [să știe că], Allah este dușmanul necredincioșilor!",""
106,2,99,"Ți-am revelat ție Versete [care sunt] dovezi clare și nu le-ar nega nimeni decât cei nelegiuiți.",""
107,2,100,"Nu este [adevărat] că de fiecare dată când ei au făcut un legământ o parte dintre ei s-au lepădat? Dar [de fapt], cei mai mulți dintre ei nu cred.",""
108,2,101,"Și când a venit la ei un Mesager al lui Allah, confirmând ceea ce ei aveau, o parte dintre cei care aveau Scriptura au aruncat Cartea lui Allah [Tora] în spatele lor, ca și cum ei nu ar fi știut [ceea ce conținea],",""
109,2,102,"Și ei au urmat [de fapt] ceea ce șeitanii au născocit în timpul împărăției lui Solomon. Dar nu a fost Solomon cel necredincios, ci șeitanii au fost necredincioși. Ei i-au învățat pe oameni vrăjitoria și ceea ce le-a fost trimis celor doi Îngeri din Babel, Harut și Marut. Dar ei [cei doi Îngeri] nu învățau pe nimeni înainte de a-i spune: „Noi suntem o ispită, deci nu fi necredincios!”[20] Și au învățat de la ei doi [chiar și] cum să dezbine un bărbat și soția lui. Însă ei nu puteau să facă rău nimănui, fără permisiunea lui Allah. Ei [oamenii] au învățat ceea ce le aduce rău și nu le folosește și totuși [Fiii lui Israel] au știut că cei care vor dobândi aceasta nu vor avea parte în Viața de Apoi. Ce lucru de nimic au dobândit în schimbul vinderii sufletelor lor! Dacă ei ar fi știut!","[20] Ei îi avertizau pe oameni să nu folosească în mod greșit ceea ce îi învățau"
110,2,103,"Dacă ei ar fi crezut şi ar fi fost cu frică de Allah, atunci ar fi primit răsplată mai bună de la Allah. O, de-ar fi ştiut!",""
111,2,104,"O, voi, cei care aţi crezut, nu spuneți „Ra’i-na”, ci spuneți „Undzurna”[21] și fiţi ascultători, căci pentru necredincioşi osândă dureroasă va fi!","[21] Cuvântul „Ra’i-na” înseamnă în limba arabă „ia-ne pe noi în considerare”, cu alte cuvinte „acordă-ne timp pentru a te auzi și ascultă-ne”. Evreii obișnuiau să folosească același cuvânt cu înțelesul unei insulte. Astfel că li s-a ordonat credincioșilor să evite acest cuvânt și să folosească în loc cuvântul „Undzurna” (așteaptă-ne, pentru ca noi să înțelegem)."
112,2,105,"Nu vor cei care nu cred dintre oamenii Scripturii [evreii și creștinii], nici politeiştii, să se pogoare asupra voastră binele de la Domnul vostru, dar Allah alege pentru Îndurarea Sa pe cine Dorește El, căci Allah este Stăpânul Harului nemărginit.",""
113,2,106,"Noi nu anulăm un Verset sau îl facem uitat, decât pentru a aduce altul mai bun decât el sau asemenea lui. Nu știi că Allah este cu Putere peste toate?",""
114,2,107,"Nu ai ştiut că a lui Allah este Împărăţia Cerurilor şi a Pământului şi că nu aveţi, alt ocrotitor şi sprijinitor în afară de Allah?",""
115,2,108,"Sau vreți să-i cereţi Mesagerului vostru, aşa cum i s-a cerut lui Moise mai înainte? Şi cel care schimbă credința cu necredință, acela se abate de la drumul cel drept.",""
116,2,109,"Mulți din neamul Scripturii și-ar dori să vă facă din nou necredincioşi, după ce ați crezut, din pricina invidiei din sufletele lor, după ce li s-a arătat adevărul. Iertaţi şi nu luați în seamă, până ce va veni Allah cu Porunca Sa. Cu adevărat Allah este cu Putere peste toate!",""
117,2,110,"Efectuați Rugăciunea şi oferiți Zakah [caritatea anuală obligatorie], căci binele pe care vi-l dăruiți vouă înşivă, îl veţi găsi la Allah. Cu adevărat Allah Vede bine ceea ce faceți.",""
118,2,111,"Și au spus: „Nu vor intra în Rai decât cei care sunt evrei sau creştini!” Acestea sunt doar dorinţele lor. Răspunde-le: „Aduceţi dovada voastră dacă aveţi dreptate!”",""
119,2,112,"Ba nu! Cel care s-a supus lui Allah şi face bine, va avea răsplata sa de la Domnul lui! Ei nu vor avea motive de a se teme şi nici nu vor fi mâhniți!",""
120,2,113,"Evreii spun: „Creştinii nu au niciun temei!” Şi creştinii spun: „Evreii nu au niciun temei!” deși ei citesc Scriptura[22]. Astfel spun şi cei care nu au ştiinţă [politeiștii], asemenea vorbelor lor. Dar Allah va judeca în Ziua Învierii în cele asupra cărora au păreri diferite.","[22] Evreii citesc Tora care îl vestea pe Iisus, iar creştinii citesc Evanghelia care confirma mesajul lui Moise"
121,2,114,"Şi cine este mai nedrept decât acela care a oprit ca în moscheile lui Allah să se rostească Numele Lui şi s-a luptat să le distrugă? Aceştia nu se cuvine să intre în ele decât cu frică. Ei vor avea în această lume parte de rușine şi în Lumea de Apoi o pedeapsă mare.",""
122,2,115,"Ale lui Allah sunt Răsăritul şi Apusul şi ori încotro vă veţi întoarce, acolo este Faţa lui Allah. Cu adevărat Allah este Uasi‘ [Cel cu Har Nemărginit], ‘Alim [Atoateștiutor]",""
123,2,116,"Ei au spus: „Allah şi-a luat un fiu.” Slavă Lui! Dimpotrivă, ale Lui sunt cele din Ceruri şi de pe Pământ! Toate Îi sunt ascultătoare Lui,",""
124,2,117,"Făcătorul Cerurilor şi al Pământului. Atunci când hotărăşte un lucru, El doar spune: „Fii” şi acesta este!",""
125,2,118,"Cei care nu știu spun: „De ce nu vorbește Allah cu noi sau de ne-ar trimite vreun semn?» Așa au spus şi cei de dinaintea lor, cuvinte semănând cu ale lor. Inimile lor seamănă. Noi am adus semne limpezi pentru cei care vor să creadă neclintit.",""
126,2,119,"Cu adevărat Noi te-am trimis [o, Mohammed,] cu Adevărul, ca bun vestitor şi prevenitor, dar tu nu vei fi întrebat despre oaspeții Iadului.",""
